"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,NA,8.67660208643815,3.6,11.9481516042381,5.85078370662092,30,0.876602086438153,19,46,19.8,4.4,7.67820899509893
"A.J. Derby","TE","DEN",2552580,1991-09-20,2.92613636363636,1.3625,3.98041754756871,1.52965522611888,42,0.0897632708821234,14,1,39.7,5.8,4.7145391766575
"A.J. Green","WR","CIN",2495450,1988-07-31,13.8869788694912,10.6225,15.9397140843423,2.69476816563474,14,0.17605163757008,3,5,3.3,1.5,1.88306366587194
"AJ McCarron","QB","CIN",2543497,1990-09-13,1.324,1.324,1.324,2.22383863495563e-16,35,0.502,20,2,NA,NA,3.79321556663569
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0.9525,0.9525,0.9525,1.11191931747782e-16,125,0.0433550670640835,29,0,NA,NA,NA
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,NA,48,0,30,2,NA,NA,NA
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,1.84240685543964,0.025,3.06779269053478,1.77791074642341,83,0.133340705059967,19,1,84.5,6.1,5.14068709276121
"Aaron Rodgers","QB","GB",2506363,1983-12-02,20.4777223796034,20.336,20.5666075627677,0.133321137325372,2,0.777949008498581,2,11,1.4,1.4,3.1812651953559
"Adam Humphries","WR","TB",2553895,1993-06-24,3.6570821529745,2.825,4.17894591776481,0.782756677478503,94,0.0615463817692081,23,1,82.9,9.1,6.4917633038823
"Adam Thielen","WR","MIN",2541785,1990-08-22,5.60500745156483,1.76,8.19750216615257,3.7614472773415,66,0.0223837910723157,15,2,33.4,6.3,4.79382133198375
"Adam Vinatieri","K","IND",2503471,1972-12-28,6.27900507614213,2.88247619047619,7.44240985048373,2.20094307545376,13,0.301696748409488,3,20,17.1,3.9,7.05849822707702
"Adrian Peterson","RB","MIN",2507164,1985-03-21,11.5618049792531,5.3775,15.6169310918666,5.98749668136568,15,0.814430621418692,5,9,NA,NA,NA
"Alan Cross","RB","TB",2556508,1993-05-02,0,0,0,NA,109,0,28,0,109.5,20.5,13.1284982566206
"Albert Wilson","WR","KC",2550272,1992-07-12,4.25520119225037,3.64,4.60593023255814,0.848528137423857,86,0.137266909280547,21,2,90.5,7.8,5.70343310264369
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,2.71410788381743,2.5,2.87786089935347,0.228385124527616,108,0.244756103161822,26,5,NA,NA,NA
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.220350223546945,0.105,0.298125064984577,0.112843418320245,145,0.0328502235469448,35,0,106.3,9.1,6.4917633038823
"Alex Smith","QB","KC",2506340,1984-05-07,17.9339773371105,14.844,19.8719436791318,2.90680479713953,8,0.485603399433426,5,11,17.2,2.8,8.4970726410223
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.30267351274788,1,3.33461913935598,1.42032461639245,75,0.0679938998744096,19,2,NA,NA,NA
